event_id,time,host_id,event_type,event_score,source_state,is_true_signal,generated_time,delivery_time,impairment_mode,impairment_status,is_delivered,is_synthetic_flood,parent_event_id
event_000000,0,host_004,network_alert,0.8892330867563341,compromised,True,0,0,adversarial_suppression,kept_after_suppression,True,False,
event_000002,0,host_036,network_alert,0.8661007387608547,compromised,True,0,0,adversarial_suppression,kept_after_suppression,True,False,
event_000003,0,host_045,network_alert,0.24945525697760965,benign,False,0,0,adversarial_suppression,kept_after_suppression,True,False,
event_000005,1,host_004,endpoint_alert,0.8124987210832572,compromised,True,1,1,adversarial_suppression,kept_after_suppression,True,False,
event_000006,1,host_021,auth_alert,0.6342181870947439,compromised,True,1,1,adversarial_suppression,kept_after_suppression,True,False,
event_000007,1,host_031,endpoint_alert,0.6333069693401183,compromised,True,1,1,adversarial_suppression,kept_after_suppression,True,False,
event_000010,2,host_019,endpoint_alert,0.49628279774180833,suspicious,True,2,2,adversarial_suppression,kept_after_suppression,True,False,
event_000011,2,host_021,endpoint_alert,0.7014507519749196,compromised,True,2,2,adversarial_suppression,kept_after_suppression,True,False,
event_000012,2,host_036,network_alert,0.6874813165400547,compromised,True,2,2,adversarial_suppression,kept_after_suppression,True,False,
event_000013,2,host_049,endpoint_alert,0.9771027143412181,compromised,True,2,2,adversarial_suppression,kept_after_suppression,True,False,
event_000015,3,host_024,auth_alert,0.08954666533595632,benign,False,3,3,adversarial_suppression,kept_after_suppression,True,False,
event_000016,3,host_038,endpoint_alert,0.8518884008501613,compromised,True,3,3,adversarial_suppression,kept_after_suppression,True,False,
event_000018,4,host_002,auth_alert,0.2988285844648209,benign,False,4,4,adversarial_suppression,kept_after_suppression,True,False,
event_000019,4,host_004,endpoint_alert,0.8302860118660041,compromised,True,4,4,adversarial_suppression,kept_after_suppression,True,False,
event_000020,4,host_027,auth_alert,0.308459206534576,suspicious,True,4,4,adversarial_suppression,kept_after_suppression,True,False,
event_000022,4,host_036,auth_alert,0.6899630510196705,compromised,True,4,4,adversarial_suppression,kept_after_suppression,True,False,
event_000023,4,host_038,endpoint_alert,0.6187165655724857,compromised,True,4,4,adversarial_suppression,kept_after_suppression,True,False,
event_000024,5,host_004,endpoint_alert,0.9258774147665718,compromised,True,5,5,adversarial_suppression,kept_after_suppression,True,False,
event_000029,6,host_004,auth_alert,0.8499880483154005,compromised,True,6,6,adversarial_suppression,kept_after_suppression,True,False,
event_000030,6,host_031,endpoint_alert,0.8607166187400705,compromised,True,6,6,adversarial_suppression,kept_after_suppression,True,False,
event_000031,6,host_032,auth_alert,0.29761985335889635,benign,False,6,6,adversarial_suppression,kept_after_suppression,True,False,
event_000039,7,host_031,endpoint_alert,0.6551494967727188,compromised,True,7,7,adversarial_suppression,kept_after_suppression,True,False,
event_000041,7,host_038,endpoint_alert,0.6453026599551429,compromised,True,7,7,adversarial_suppression,kept_after_suppression,True,False,
event_000042,7,host_047,endpoint_alert,0.7204755463005503,compromised,True,7,7,adversarial_suppression,kept_after_suppression,True,False,
event_000044,8,host_011,network_alert,0.9368330969550089,compromised,True,8,8,adversarial_suppression,kept_after_suppression,True,False,
event_000045,8,host_013,endpoint_alert,0.9039507560902579,compromised,True,8,8,adversarial_suppression,kept_after_suppression,True,False,
event_000047,8,host_024,network_alert,0.30696440707236744,benign,False,8,8,adversarial_suppression,kept_after_suppression,True,False,
event_000048,8,host_025,auth_alert,0.8283193550191307,compromised,True,8,8,adversarial_suppression,kept_after_suppression,True,False,
event_000050,8,host_034,auth_alert,0.20752649089017836,benign,False,8,8,adversarial_suppression,kept_after_suppression,True,False,
event_000052,8,host_047,auth_alert,0.9446993764193616,compromised,True,8,8,adversarial_suppression,kept_after_suppression,True,False,
event_000053,8,host_049,endpoint_alert,0.7862750661126028,compromised,True,8,8,adversarial_suppression,kept_after_suppression,True,False,
event_000054,9,host_011,endpoint_alert,0.9209019718491308,compromised,True,9,9,adversarial_suppression,kept_after_suppression,True,False,
event_000055,9,host_019,endpoint_alert,0.8019361955817395,compromised,True,9,9,adversarial_suppression,kept_after_suppression,True,False,
event_000057,9,host_025,network_alert,0.7703187847376112,compromised,True,9,9,adversarial_suppression,kept_after_suppression,True,False,
event_000060,9,host_047,auth_alert,0.6155598449085735,compromised,True,9,9,adversarial_suppression,kept_after_suppression,True,False,
event_000062,10,host_004,network_alert,0.9513866335435577,compromised,True,10,10,adversarial_suppression,kept_after_suppression,True,False,
event_000063,10,host_008,auth_alert,0.5701222514669936,suspicious,True,10,10,adversarial_suppression,kept_after_suppression,True,False,
event_000064,10,host_018,endpoint_alert,0.25318621980931916,benign,False,10,10,adversarial_suppression,kept_after_suppression,True,False,
event_000065,10,host_019,endpoint_alert,0.9403412549258048,compromised,True,10,10,adversarial_suppression,kept_after_suppression,True,False,
event_000066,10,host_021,network_alert,0.7322519408956154,compromised,True,10,10,adversarial_suppression,kept_after_suppression,True,False,
event_000071,10,host_040,auth_alert,0.24036207948553914,benign,False,10,10,adversarial_suppression,kept_after_suppression,True,False,
event_000072,10,host_049,network_alert,0.8012259810083274,compromised,True,10,10,adversarial_suppression,kept_after_suppression,True,False,
event_000077,11,host_027,auth_alert,0.7461116636361727,compromised,True,11,11,adversarial_suppression,kept_after_suppression,True,False,
