event_id,time,host_id,event_type,event_score,source_state,is_true_signal,generated_time,delivery_time,impairment_mode,impairment_status,is_delivered,is_synthetic_flood,parent_event_id
event_000000,0,host_004,network_alert,0.8892330867563341,compromised,True,0,0,alert_flood,delivered,True,False,
flood_event_009500,0,host_004,low_value_network_alert,0.246486118044839,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_005477,0,host_005,low_value_network_alert,0.24407843257628592,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_008540,0,host_012,low_value_network_alert,0.12228538148825133,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_000487,0,host_013,low_value_network_alert,0.17162584238291834,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_005082,0,host_021,low_value_network_alert,0.24069256935218172,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_005499,0,host_022,low_value_network_alert,0.23180982811201295,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_007023,0,host_023,low_value_network_alert,0.23739968644141454,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_008428,0,host_025,low_value_network_alert,0.20278754563941756,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_006458,0,host_029,low_value_network_alert,0.21765585521218736,benign,False,0,0,alert_flood,synthetic_flood,True,True,
event_000001,0,host_031,endpoint_alert,0.6719991164520286,compromised,True,0,0,alert_flood,delivered,True,False,
event_000002,0,host_036,network_alert,0.8661007387608547,compromised,True,0,0,alert_flood,delivered,True,False,
flood_event_006591,0,host_038,low_value_network_alert,0.08669321344600245,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_007866,0,host_038,low_value_network_alert,0.18879507344771967,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_010047,0,host_038,low_value_network_alert,0.060053133421932775,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_004669,0,host_039,low_value_network_alert,0.1124090566600638,benign,False,0,0,alert_flood,synthetic_flood,True,True,
flood_event_004673,0,host_040,low_value_network_alert,0.21669866174012675,benign,False,0,0,alert_flood,synthetic_flood,True,True,
event_000003,0,host_045,network_alert,0.24945525697760965,benign,False,0,0,alert_flood,delivered,True,False,
flood_event_000352,0,host_047,low_value_network_alert,0.16229787888287694,benign,False,0,0,alert_flood,synthetic_flood,True,True,
